field,plain_english,units,computed_by
ASSET,"Total assets -- everything the bank owns, at book value.",thousands of dollars,"the bank, on its Call Report"
DEP,"Total deposits -- the money customers have placed with the bank (domestic and, for a bank with foreign offices, foreign).",thousands of dollars,"the bank, on its Call Report"
LNLSGR,Gross loans and leases -- all lending before subtracting the money set aside for losses.,thousands of dollars,"the bank, on its Call Report"
LNLSNET,Net loans and leases -- gross loans less the allowance for losses; what the balance sheet carries.,thousands of dollars,"the bank, on its Call Report"
BRO,Brokered deposits -- deposits bought through intermediaries rather than gathered from the bank's own customers.,thousands of dollars,"the bank, on its Call Report"
EQ,Total equity capital -- the owners' stake; assets minus liabilities.,thousands of dollars,"the bank, on its Call Report"
NCLNLS,Noncurrent loans -- loans 90 or more days late plus loans on nonaccrual (interest no longer being booked).,thousands of dollars,"the bank, on its Call Report"
LNATRES,Allowance for loan and lease losses -- the money set aside for loans expected to go bad.,thousands of dollars,"the bank, on its Call Report"
P3LNLS,"All loans: 30-89 days past due, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. An early-warning bucket -- late, but not yet seriously so.",thousands of dollars,"the bank, on its Call Report"
LNRECONS,Construction and land development loans.,thousands of dollars,"the bank, on its Call Report"
LNRENRES,"Loans on commercial property (offices, shops, warehouses) -- 'nonfarm nonresidential' on the form.",thousands of dollars,"the bank, on its Call Report"
LNREMULT,Loans on apartment buildings of five or more units ('multifamily').,thousands of dollars,"the bank, on its Call Report"
NCLNLSR,Noncurrent loans as a share of all loans. Money the bank is owed that has stopped being paid properly -- the headline asset-quality number.,percent,the FDIC
NTLNLSQR,"All loans: net charge-offs, annualised, as a share of the bank's TOTAL ASSETS -- the FDIC's own denominator for this published field, not the size of the loan book, so it reads far smaller than a book rate and is not comparable with one. Loans actually written off during the quarter, less anything recovered, scaled to a yearly rate.",percent,the FDIC
LNATRESR,"The money set aside for expected loan losses, as a share of all loans. Higher is not simply better -- it means either more caution or a worse book.",percent,the FDIC
LNRESNCR,How far the money set aside stretches to cover the loans that have already gone bad. 150% means the reserve is one and a half times the bad loans; below 100% means it is not enough to cover them.,percent,the FDIC
