series_id,title,date,value,units,frequency,publisher,verified,verified_against,why_not_verified,source_url
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1975-01-01,69.15,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1975-04-01,69.06,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1975-07-01,66.9,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1975-10-01,67.58,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1976-01-01,70.63,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1976-04-01,70.53,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1976-07-01,75.5,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1976-10-01,72.56,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1977-01-01,78.1,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1977-04-01,60.83,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1977-07-01,80.01,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1977-10-01,79.38,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1978-01-01,78.74,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1978-04-01,86.37,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1978-07-01,87.64,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1978-10-01,92.15,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1979-01-01,89.78,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1979-04-01,97.88,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1979-07-01,93.93,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1979-10-01,95.37,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1980-01-01,100.0,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1980-04-01,111.2,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1980-07-01,73.82,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1980-10-01,94.6,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1981-01-01,89.22,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1981-04-01,108.17,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1981-07-01,115.61,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1981-10-01,128.62,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1982-01-01,135.39,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1982-04-01,129.89,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1982-07-01,140.28,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1982-10-01,135.86,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1983-01-01,137.82,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1983-04-01,140.04,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1983-07-01,144.48,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1983-10-01,145.16,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1984-01-01,149.13,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1984-04-01,147.56,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1984-07-01,152.82,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
AKSTHPI,FHFA All-Transactions HPI -- Alaska,1984-10-01,151.51,index 1980Q1=100,quarterly,FHFA,yes,FHFA All-Transactions house price index,,https://www.fhfa.gov/hpi/download/quarterly_datasets/
